#  i    j     Ez     Tz    Tzl
   5   45    4.7    4.7    4.7
   5   46    4.8    4.8    4.8
   5   47    4.9    4.9    4.9
   5   48    5.0    5.0    5.0
   5   49    5.0    5.0    5.0
   5   50    5.0    5.0    5.0
   5   51    5.0    5.0    5.0
   5   52    5.0    5.0    5.0
   5   53    4.9    4.9    4.9
   5   54    4.9    4.9    4.9
   5   55    4.9    4.9    4.9
   5   56    5.0    5.0    5.0
   5   57    4.9    4.9    4.9
   5   58    5.0    5.0    5.0
   5   59    5.1    5.1    5.1
   5   60    4.3    4.3    4.3
   5   61    2.3    2.3    2.3
   5   62    2.3    2.3    2.3
   5   63    7.5    7.5    7.5
   5   64    8.2    8.2    8.2
   5   65    7.5    7.5    7.5
   5   66    7.4    7.4    7.4
   5   67    7.4    7.4    7.4
   5   68    7.3    7.3    7.3
   5   69   11.8   11.8   11.8
   5   70   14.7   14.7   14.7
   5   71   15.7   15.7   15.7
   5   72   17.5   17.5   17.5
   5   73   15.7   15.7   15.7
   5   74   16.7   16.7   16.7
   5   75   17.6   17.6   17.6
   5   76   18.3   18.3   18.3
   5   77   18.7   18.7   18.7
   5   78   18.7   18.7   18.7
   5   79   18.9   18.9   18.9
   5   80   20.8   20.8   20.8
   5   81   18.9   18.9   18.9
   5   82   11.0   11.0   11.0
   5   83    5.9    5.9    5.9
   5   84    5.8    5.8    5.8
   5   85    5.9    5.9    5.9
   5   86    6.4    6.4    6.4
   5   87    7.3    7.3    7.3
   5   88    9.3    9.3    9.3
   5   89    9.2    9.2    9.2
   5   90    9.0    9.0    9.0
   5   91    9.2    9.2    9.2
   5   92    9.8    9.8    9.8
   5   93   10.5   10.5   10.5
   5   94    9.7    9.7    9.7
   5   95    8.8    8.8    8.8
   5   96    7.5    7.5    7.5
   5   97    7.1    7.1    7.1
   5   98    3.0    3.0    3.0
   5   99    3.0    3.0    3.0
   5  100    5.1    5.1    5.1
   6    1    2.7    2.7    2.7
   6    2    2.7    2.7    2.7
   6    3    2.6    2.6    2.6
   6    4    2.6    2.6    2.6
   6    5    2.5    2.5    2.5
   6    6    2.7    2.7    2.7
   6    7    2.9    2.9    2.9
   6    8    3.2    3.2    3.2
   6    9    3.4    3.4    3.4
   6   10    3.5    3.5    3.5
   6   11    3.7    3.7    3.7
   6   12    4.2    4.2    4.2
   6   13    4.6    4.6    4.6
   6   14    3.7    3.7    3.7
   6   15    3.4    3.4    3.4
   6   16    3.5    3.5    3.5
   6   17    3.3    3.3    3.3
   6   18    3.4    3.4    3.4
   6   19    3.6    3.6    3.6
   6   20    3.6    3.6    3.6
   6   21    3.7    3.7    3.7
   6   22    4.0    4.0    4.0
   6   23    3.8    3.8    3.8
   6   24    3.7    3.7    3.7
   6   25    3.5    3.5    3.5
   6   26    2.0    2.0    2.0
   6   27    1.4    1.4    1.4
   6   28    1.5    1.5    1.5
   6   29    2.6    2.6    2.6
   6   30    7.1    7.1    7.1
   6   31    5.1    5.1    5.1
   6   32    4.3    4.3    4.3
   6   33    4.3    4.3    4.3
   6   34    4.4    4.4    4.4
   6   35    4.5    4.5    4.5
   6   36    4.4    4.4    4.4
   6   37    4.4    4.4    4.4
   6   38    4.3    4.3    4.3
   6   39    4.2    4.2    4.2
   6   40    4.4    4.4    4.4
   6   41    4.2    4.2    4.2
   6   42    4.3    4.3    4.3
   6   43    4.3    4.3    4.3
   6   44    4.5    4.5    4.5
   6   45    4.4    4.4    4.4
   6   46    4.5    4.5    4.5
   6   47    4.9    4.9    4.9
   6   48    5.0    5.0    5.0
   6   49    5.1    5.1    5.1
   6   50    5.0    5.0    5.0
   6   51    5.0    5.0    5.0
   6   52    4.9    4.9    4.9
   6   53    4.8    4.8    4.8
   6   54    4.8    4.8    4.8
   6   55    4.8    4.8    4.8
   6   56    4.7    4.7    4.7
   6   57    4.7    4.7    4.7
   6   58    4.9    4.9    4.9
   6   59    5.0    5.0    5.0
   6   60    3.7    3.7    3.7
   6   61    2.4    2.4    2.4
   6   62    3.6    3.6    3.6
   6   63    9.6    9.6    9.6
   6   64    7.4    7.4    7.4
   6   65    7.3    7.3    7.3
   6   66    7.3    7.3    7.3
   6   67    7.3    7.3    7.3
   6   68    7.2    7.2    7.2
   6   69    7.2    7.2    7.2
   6   70    9.6    9.6    9.6
   6   71   13.0   13.0   13.0
   6   72   15.6   15.6   15.6
   6   73   14.5   14.5   14.5
   6   74   15.3   15.3   15.3
   6   75   14.9   14.9   14.9
   6   76   16.2   16.2   16.2
